Line,Pre-Weight,Recipe,Location,Wet Weight,Wet Result,Wet Pass/Fail,Dry Weight,WPP,Pass/Fail,Passes,Flow,Size
S006,43.663,38,A,44.507,835,PASS,44.491,287,1,142,96.965,38
S006,43.869,38,B,44.692,815,PASS,44.676,280,1,142,116.888,38
S006,44.554,38,C,45.44,877,PASS,45.419,300,1,148,82.407,38
S006,43.614,38,B,44.436,814,PASS,44.42,279,1,148,82.416,38
S006,43.664,38,A,44.573,900,FAIL,44.551,307,1,148,87.869,38
S006,43.554,38,D,44.394,831,PASS,44.379,286,1,148,87.881,38
S006,44.307,38,B,45.173,857,PASS,45.157,294,1,142,116.904,38
S006,43.712,38,A,44.575,854,PASS,44.585,302,1,142,96.912,38
S006,44.557,38,C,45.46,894,FAIL,45.452,310,1,142,116.87,38
S006,44.511,38,C,45.417,897,FAIL,45.396,307,1,142,116.923,38
S006,43.778,38,B,44.652,865,PASS,44.637,298,1,142,116.904,38
S006,43.649,38,A,44.522,864,PASS,44.516,300,1,142,96.903,38
S006,43.651,38,D,44.483,824,PASS,44.475,285,1,142,96.891,38
S006,44.521,38,D,45.337,808,PASS,45.325,279,1,142,96.914,38
S006,44.3,38,C,45.181,872,PASS,45.159,298,1,148,82.403,38
S006,43.596,38,D,44.469,864,PASS,44.446,294,1,148,87.857,38
S006,43.658,38,A,44.546,879,PASS,44.529,302,1,148,87.885,38
S006,44.629,38,B,45.478,840,PASS,45.459,288,1,148,82.41,38
S006,44.29,38,D,45.162,863,PASS,45.139,294,1,148,87.859,38
S006,44.01,38,C,44.896,877,PASS,44.879,301,1,148,82.404,38
S006,43.828,38,C,44.656,820,PASS,44.638,281,1,146,82.441,38
S006,44.009,38,D,44.851,833,PASS,44.832,285,1,146,87.844,38
S006,43.927,38,A,44.786,850,PASS,44.775,294,1,146,87.859,38
S006,44.114,38,A,44.951,828,PASS,44.947,289,1,146,87.899,38
S006,44.532,38,C,45.393,852,PASS,45.377,293,1,146,82.385,38
S006,43.674,38,D,44.534,851,PASS,44.515,291,1,146,87.857,38
S006,44.307,38,B,45.134,819,PASS,45.126,284,1,146,82.482,38
S006,43.694,38,A,44.557,854,PASS,44.547,296,1,146,87.884,38
S006,43.855,38,C,44.754,890,FAIL,44.747,309,1,146,82.408,38
S006,44.532,38,D,45.404,863,PASS,45.399,300,1,146,87.889,38
S006,44.025,38,A,44.899,865,PASS,44.882,297,1,146,87.871,38
S006,44.258,38,C,45.104,837,PASS,45.095,290,1,146,82.44,38
S006,44.021,38,D,44.877,847,PASS,44.864,292,1,146,87.875,38
S006,44.378,38,B,45.203,817,PASS,45.197,284,1,146,82.418,38
S006,44.405,38,B,45.24,827,PASS,45.222,283,1,146,82.381,38
S006,44.161,38,C,44.988,819,PASS,44.978,283,1,146,82.416,38
S006,43.916,38,D,44.757,832,PASS,44.747,288,1,146,87.888,38
S006,44.44,38,B,45.235,787,FAIL,45.229,273,1,146,82.407,38
S006,43.873,38,A,44.739,857,PASS,44.738,300,1,146,87.88,38
S006,43.809,38,C,44.687,869,PASS,44.679,301,1,146,82.421,38
S006,43.225,38,D,44.083,849,PASS,44.076,295,1,146,87.862,38
S006,43.827,38,B,44.701,865,PASS,44.691,299,1,142,115.389,38
S006,43.671,38,A,44.541,861,PASS,44.526,296,1,142,96.904,38
S006,43.892,38,D,44.696,796,FAIL,44.69,276,1,142,96.889,38
S006,43.849,38,C,44.731,873,PASS,44.722,302,1,142,115.366,38
S006,43.803,38,A,44.663,851,PASS,44.658,296,1,142,96.895,38
S006,44.015,38,A,44.849,826,PASS,44.843,287,1,142,96.909,38
S006,43.742,38,D,44.605,854,PASS,44.592,294,1,142,96.898,38
S006,44.024,38,C,44.916,883,PASS,44.908,306,1,142,115.359,38
S006,43.679,38,B,44.528,840,PASS,44.519,291,1,142,115.422,38
S006,43.622,38,A,44.495,864,PASS,44.487,300,1,142,96.903,38
S006,43.919,38,D,44.75,823,PASS,44.744,286,1,142,96.898,38
S006,43.859,38,C,44.742,874,PASS,44.733,303,1,142,115.429,38
S006,43.992,38,A,44.878,877,PASS,44.856,299,1,146,87.866,38
S006,43.854,38,B,44.562,701,FAIL,44.551,241,0,146,83.09,38
S006,43.895,38,D,44.723,820,PASS,44.707,281,1,146,87.863,38
S006,44.367,38,C,45.229,853,PASS,45.212,293,1,146,83.23,38
S006,43.851,38,B,44.663,804,FAIL,44.65,277,1,146,82.379,38
S006,44.573,38,A,45.449,867,PASS,45.361,273,1,146,87.846,38
S006,43.921,38,A,44.781,851,PASS,44.768,293,1,146,87.864,38
S006,43.651,38,C,44.428,769,FAIL,44.409,263,0,146,83.101,38
S006,44.004,38,B,44.742,730,FAIL,44.732,252,0,146,82.375,38
S006,43.241,38,B,44.031,782,FAIL,44.017,269,0,146,83.103,38
S006,44.49,38,B,45.354,855,PASS,45.337,293,1,146,83.264,38
S006,44.04,38,D,44.896,847,PASS,44.875,289,1,146,87.867,38
S006,43.926,38,B,44.759,825,PASS,44.744,283,1,142,115.055,38
S006,43.761,38,A,44.678,908,FAIL,44.66,311,1,142,96.891,38
S006,43.703,38,B,44.505,794,FAIL,44.498,275,1,142,115.061,38
S006,43.961,38,A,44.82,850,PASS,44.805,292,1,142,96.909,38
S006,43.614,38,A,44.495,872,PASS,44.466,295,1,142,96.903,38
S006,43.742,38,A,44.571,821,PASS,44.559,283,1,142,96.912,38
S006,44.623,38,D,45.441,810,PASS,45.424,277,1,142,96.895,38
S006,44.423,38,A,45.296,864,PASS,45.284,298,1,142,96.894,38
S006,44.445,38,B,45.256,803,FAIL,45.243,276,1,142,114.947,38
S006,44.441,38,B,45.276,827,PASS,45.262,284,1,142,115.377,38
S006,44.584,38,C,45.464,871,PASS,45.445,298,1,142,114.682,38
S006,44.611,38,B,45.423,804,FAIL,45.406,275,1,142,115.308,38
S006,44.571,38,D,45.483,903,FAIL,45.464,309,1,142,96.886,38
S006,44.466,38,A,45.344,869,PASS,45.326,298,1,142,96.9,38
S006,44.48,38,C,45.3,812,PASS,45.285,279,1,142,114.837,38
S006,44.596,38,B,45.435,830,PASS,45.416,284,1,142,114.979,38
S006,43.933,38,D,44.754,813,PASS,44.739,279,1,142,96.886,38
S006,44.519,38,C,45.39,862,PASS,45.378,298,1,146,82.403,38
S006,44.533,38,C,45.372,830,PASS,45.349,283,1,146,82.401,38
S006,44.651,38,D,45.511,851,PASS,45.496,293,1,142,96.895,38
S006,44.435,38,C,45.291,847,PASS,45.273,290,1,142,114.907,38
S006,44.63,38,C,45.505,866,PASS,45.491,298,1,142,114.848,38
S006,44.555,38,D,45.454,890,FAIL,45.432,304,1,146,87.867,38
S006,44.476,38,D,45.302,818,PASS,45.285,280,1,146,87.853,38
S006,43.385,38,B,44.226,832,PASS,44.216,288,1,146,86.381,38
S006,44.544,38,B,45.414,861,PASS,45.402,297,1,142,115.884,38
S006,44.395,38,D,45.239,835,PASS,45.226,288,1,142,96.888,38
S006,44.58,38,C,45.536,946,FAIL,45.516,324,0,142,115.856,38
S006,43.896,38,B,44.701,797,FAIL,44.69,275,1,146,84.4,38
S006,44.341,38,A,45.231,881,PASS,45.219,304,1,142,96.912,38
S006,44.588,38,D,45.449,852,PASS,45.441,296,1,146,87.883,38
S006,44.529,38,C,45.41,872,PASS,45.404,303,1,146,86.382,38
S006,43.922,38,B,44.743,813,PASS,44.731,280,1,146,84.407,38
S006,43.65,38,B,44.471,813,PASS,44.451,277,1,146,84.436,38
S006,43.615,38,A,44.454,830,PASS,44.437,285,1,146,87.861,38
S006,44.557,38,D,45.438,872,PASS,45.427,301,1,146,87.87,38
S006,44.413,38,C,45.282,860,PASS,45.275,299,1,146,84.433,38
S006,44.026,38,A,44.854,820,PASS,44.84,282,1,146,87.851,38
S006,44.442,38,A,45.319,868,PASS,45.301,298,1,146,87.861,38
S006,43.991,38,A,44.821,822,PASS,44.81,284,1,146,87.865,38
S006,44.491,38,D,45.355,855,PASS,45.339,294,1,146,87.862,38
S006,44.617,38,C,45.465,839,PASS,45.445,287,1,146,84.429,38
S006,43.826,38,B,44.645,811,PASS,44.633,280,1,146,83.105,38
S006,44.513,38,A,45.368,846,PASS,45.348,289,1,146,87.847,38
S006,43.877,38,D,44.732,846,PASS,44.721,292,1,146,87.873,38
S006,44.358,38,D,45.223,856,PASS,45.203,293,1,146,87.855,38
S006,43.741,38,C,44.614,864,PASS,44.596,296,1,146,84.408,38
S006,43.642,38,A,44.53,879,PASS,44.513,302,1,142,96.883,38
S006,43.806,38,A,44.667,852,PASS,44.653,293,1,142,96.906,38
S006,43.967,38,C,44.865,889,PASS,44.848,305,1,142,115.862,38
S006,44.61,38,A,45.512,893,FAIL,45.489,305,1,142,96.886,38
